ds,yhat,yhat_lower,yhat_upper
2014-01-03,1548.2897604511509,-1180.8254618926007,4375.975742917562
2014-01-04,1053.0703654167057,-1644.4555779148202,3865.9421025869533
2014-01-05,1144.805033773759,-1608.3415457492456,3998.007093547271
2014-01-06,1270.0952369747527,-1467.2416166340474,3943.455202113155
2014-01-07,612.5918278802267,-2140.2773320084148,3146.3042057645675
2014-01-09,822.724397848726,-1992.2346892217665,3547.718898616131
2014-01-10,1043.494234824835,-1796.4285122455804,3840.1563700696934
2014-01-11,613.4559910696136,-1993.0275118139157,3370.693814019651
2014-01-13,973.1512131550282,-1668.5427632545607,3769.465005309856
2014-01-14,390.21189732753487,-2577.606368283696,3402.6073405714437
2014-01-15,-467.72213611896063,-3255.213691075443,2360.4072923777712
2014-01-16,748.1857812916236,-2023.012238742204,3368.0798217308356
2014-01-18,674.714358120855,-1956.41969156364,3515.9831988880396
2014-01-19,895.9334382481077,-2025.0689107256503,3460.208338809695
2014-01-20,1146.682990931512,-1608.0773842348215,3821.250351879598
2014-01-21,608.0001301290466,-2303.7080139918335,3056.119161342292
2014-01-23,1026.1441593668776,-1777.7202872703383,3564.876582830034
2014-01-26,1186.160060065317,-1546.4292270741264,3918.007679926863
2014-01-27,1420.0125456938827,-1360.1595985277252,3858.5778794537864
2014-01-28,854.5909364763621,-2035.5230606897865,3500.3910962059067
2014-01-30,1192.9720901073763,-1575.240695622041,3739.112363744642
2014-01-31,1447.752492005315,-1150.7049179203302,4291.615386572503
2014-02-01,1030.9898447597468,-1805.6633734936843,3525.5463325183805
2014-02-02,1185.1363439466138,-1608.3851900943616,3846.8899614174743
2014-02-03,1355.978207544469,-1274.7418608500313,4124.910596418236
2014-02-04,726.7461775357826,-1925.150038596367,3445.3256186591125
2014-02-06,941.9421316760997,-1657.9174571706776,3621.7191956338943
2014-02-07,1140.705945325029,-1649.5937457522132,3696.4638958398887
2014-02-08,673.7634289500311,-2160.351848753303,3252.373320449609
